city,city_LP,LP_destinations
Crete,Greece,"Untouched by mass tourism, villages are the backbone of Cretan culture and identity – especially those tucked in the hills and mountains. The island's spirited people still champion many of their unique customs, and time-honoured traditions remain a dynamic part of daily life. Look for musicians striking up a free-form jam on local instruments, such as the stringed lyra (lyre), or wedding celebrants weaving their traditional regional dances. Meeting regular folk gossiping in kafeneia (coffee houses), preparing their Easter feast, tending to their sheep or celebrating during the island’s many festivals is what makes a visit to Crete so special."
Krakó,30,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Delhi,India,"Delhi is a city built upon cities. There are at least eight historical Delhis, each constructed on, or near, the ruins of its predecessor, leaving a modern-day citadel that's dotted with ancient monuments, many said to be haunted by djinns (spirits). Love history and you'll be left salivating as you trace your way through the eras, clambering across the ruined forts of Tughlaqabad, Siri, Purana Qila and Shajahanabad; exploring the magnificent tombs of eminent historical figures; and visiting the still-vibrant temples, mosques and shrines that throng with devotees today, as they have done for hundreds of years."
Dresden,Germany,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Dublin,Ireland,"For as long as it's been around, Dublin has looked beyond Irish shores for inspiration. Once the second city of the (British) Empire, Dublin has always maintained a pretty cosmopolitan outlook and in the last three decades has conspicuously embraced diversity and multiculturalism. You'll hear languages and eat foods from all four corners of the globe, and while it used to be said that ‘real’ Dubs had to be born within the canals like their parents and grandparents before them, these days you’re just as likely to meet a Dub whose parents were born in Warsaw, Lagos, Cairo or Beijing."
Dubrovnik,Croatia,"Although the shelling of Dubrovnik in 1991 horrified the world, the city has bounced back with vigour to enchant visitors again. Marvel at the interplay of light on the old stone buildings; trace the peaks and troughs of Dubrovnik's past in museums replete with art and artefacts; take the cable car up to Mt Srđ; exhaust yourself climbing up and down narrow lanes – then plunge into the azure sea."
Dusseldorf,Germany,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Eilat,Israel,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Florence,Italy,"Florence is made for walking, which suits me perfectly, but what never ceases to amaze me is its overwhelming beauty. It's impossible not to be completely and utterly seduced by the sheer size and grandeur of Brunelleschi's red cathedral dome on Piazza del Duomo; by the sensual beauty of a stash of lesser-known Michelangelo sculptures that no one really talks about (forget David – Dawn and Dusk sends shivers down my spine); by the hopelessly romantic city light that turns the Arno and its bridges into a portfolio of Turner canvases during my early-morning runs. Swoon."
Frankfurt,Germany,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Geneva,Switzerland,"Beneath this flawless exterior, lies a fascinating rough-cut diamond, peopled by artists and activists educated in international schools, drifters and denizens. Geneva's counterculture dwells in Les Grottes, the Quartier des Pâquis and along the post-industrial Rhône where neighbourhood bars hum with attitude and energy. This is the Geneva of the 'real' Genevois…or as close as you'll get to it."
Guangzhou,China,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Hamburg,Germany,"The good people of Hamburg really know how to live. For a start, they've mastered the ingredients of culinary diversity: elevate your local specialties to the level of an obsession and treasure them, even as you remain open to all manner of gastronomic trends. The result is culinary excellence on multiple fronts. So, too, for nightlife: Hamburg is full to bursting with classy cocktail bars, dance-all-night clubs and neighbourhood bars and pubs that both reflect each neighbourhood's identity and define it. So successful are they that it's almost impossible to come to Hamburg and not have a really good time."
Innsbruck,Austria,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Istanbul,Turkey,"Some ancient cities are the sum of their monuments, but İstanbul factors a lot more into the equation. Chief among its manifold attractions are the locals, who have an infectious love of life and generosity of spirit. This vibrant, inclusive and expanding community is full of people who work and party hard, treasure family and friendships, and have no problem melding tradition and modernity in their everyday lives. Joining them in their favourite haunts – çay bahçesis (tea gardens), kahvehans (coffeehouses), meyhanes (Turkish taverns) and kebapçıs (kebap restaurants) – will be a highlight of your visit."
Kos,Greece,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Ko-samui,Thailand,"Add some full-on pampering to the leisurely mix. People come here to see other people looking good and to look good too, with a pinch of mindfulness thrown in for massaging the soul. Cleansing fasts, yoga, tai-chi, herbal steam treatments and chakra-balancing restore equilibrium to out-of-kilter systems, are all on offer. And for those who just want to ease away the aches and pains of lying on the beach, Ko Samui’s spas can ease them to the next level of serenity."
Kyiv ukrain,02000,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
LarnaKa,Cyprus,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Las-Vegas,United States,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Limassol,Cyprus,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Lisbon,Portugal,"Lisbon's trademark seven hills are spread across the cityscape like lofty guardians of colour and history. Capped by a collection of terraces known as miradouros (viewpoints), a must-see web of no-filter-necessary views over Lisbon, the Tejo and beyond is formed. Our favourite miradouros – Portas do Sol, São Pedro de Alcântara, da Graça, da Senhora do Monte, Santa Luzia and, of course, Castelo de São Jorge – all offer stunning spots to get your bearings and while away afternoons over bica (espresso), elegant glasses of Touriga Nacional or refreshing pitchers of sangria, while rubbernecking the city's stupendous horizons."
Ljubljana,Slovenia,"Slovenia's master of early-modern, minimalist design, Jože Plečnik, graced Ljubljana with beautiful bridges and buildings as well as dozens of urban design elements such as pillars, pyramids and lamp posts, which exist solely to make the city even prettier. Attractive cities are often described as 'jewel boxes', and here the name really fits. Some 50,000 students support an active clubbing scene, and Ljubljana's museums and restaurants are among the best in the country."
Los Angeles,United States,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Madrid,Spain,"Madrid may lack the cachet of Paris, the monumental history of Rome, or Barcelona’s reputation for Modernista masterpieces. And no, there is no equivalent of the Eiffel Tower, Colosseum or La Sagrada Família that you can point to and say ‘this is Madrid’. But Madrid has nothing to be envious of. Spain's broad sweep of architectural history provides a glorious backdrop to city life, from medieval mansions and royal palaces to the unimagined angles of Spanish contemporary architecture, from the sober brickwork and slate spires of Madrid baroque to the extravagant confections of the belle époque. Put simply, this is one beautiful city."
Manila,Philippines, 
Marseille,France,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Mexico-City,Mexico,"A stroll through the buzzing downtown area reveals the capital’s storied history, from pre-Hispanic and colonial-era splendor to its contemporary edge. This high-octane megalopolis contains plenty of escape valves in the way of old-school cantinas, intriguing museums, inspired dining and boating excursions along ancient canals. With so much going on, you might consider scrapping those beach plans."
Miami,United States,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Milan,Italy,"Cucina povera (poor man's cuisine) may be the cry of the south, but Milanese cooking is the product of a rich urban culture. Just note the golden hue of its quintessential dishes: cotoletta (burnished, buttery veal) and saffron risotto. It was in powerful commercial cities such as Milan that some of Italy’s great cuisines were born, marrying Mediterranean fruits, spices and herbs with cooking methods, pastry techniques and eating styles from France and central Europe. Even today Milan continues to push Italy’s culinary boundaries, making sushi and dim sum its own, and holding the highest number of Michelin stars in the country."
Moscow,Russia,"At nearly every turn in Moscow, you'll see golden domes peeking out over the rooftops and hear church bells peeling through the streets, which are dotted with some 600 churches – many of which are glittering after recent renovations. There are colourful hidden gems, historic fortresses and gargantuan cathedrals. The exteriors are adorned with stone carvings and glittering domes; interiors are packed with ancient icons, swirling incense and faithful worshippers. For more than a millennium, Orthodoxy has helped to define the Russian nation, a significance that is palpable in these atmospheric spiritual places."
mumbai-bombay,India,"If Mumbai is your introduction to India, prepare yourself. The city isn’t a threatening place but its furious energy, limited (but improving) public transport and punishing pollution make it challenging for visitors. The heart of the city contains some of the most ornate colonial-era architecture on the planet, but explore a little more and you’ll uncover unique bazaars, hidden temples, hipster enclaves and India’s premier restaurants and nightlife."
Munich,Germany,"Munich’s various quirks, the things that make the city the place it is, might be what stick in the memory most. Whether it be the inebriated oompah band, that special knife for eating monster radishes, the Bavarians outrageous dialect, the mad hat traditions of the Oktoberfest or the surfers on the Eisbach wave – you’re sure to discover some freakish aspect of Munich life every day. And then there is the local garb – nowhere else in central Europe do the locals don their traditional costume – the famous Lederhosen and Dirndl – as readily as the Münchners, so why not join them?"
Mykonos,846 00,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Naples Italy,Italy,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Nice,France,"Bring your appetite when you come to Nice. This city is meant for epicures. It all starts at Vieux Nice’s Saleya market, where small producers from the Alpine foothills bring in a bounty of fresh produce, and top chefs from surrounding restaurants shop right beside tourists. The city celebrates its uniqueness with street snacks like socca (chickpea pancakes), pissaladière (caramelised onion tart) or tourte de blettes (chard, raisin and pine nut pie), while its countless cosy bistros serve everything from hearty Provençal beef stew to true salade niçoise to pasta with pistou, and from fresh lemon tart to vegan cheesecake."
Odesa,65000,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Paris,France,"With an illustrious artistic pedigree – Renoir, Rodin, Picasso, Monet, Manet, Dalí and Van Gogh are but a few of the masters who have lived and worked here over the years – Paris is one of the world's great art repositories, harbouring treasures from antiquity onwards. In addition to big hitters like the incomparable Louvre, the Musée d’Orsay’s exceptional impressionist collection, and the Centre Pompidou’s cache of modern and contemporary art, scores of smaller museums showcase every imaginable genre, a diverse range of venues mount major exhibitions through to offbeat installations, and there's also the city's vibrant street art."
Phuket,83000,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Rhodes,Greece,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Rome,Italy,"Eating out is one of Rome's great pleasures and the combination of romantic alfresco settings and superlative food is a guarantee of good times. For contemporary fine dining and five-star wine there are any number of refined restaurants, but for a truly Roman meal head to a boisterous pizzeria or convivial neighbourhood trattoria. That's where the locals go to indulge their passion for thin, crispy pizzas, humble pasta dishes, and cool white wines from the nearby Castelli Romani hills. To finish off, what can beat a gelato followed by a shot of world-beating coffee?"
Salzburg,Austria,"Beyond Salzburg’s two biggest money-spinners – Mozart and The Sound of Music – hides a city with a burgeoning arts scene, wonderful food, manicured parks, quiet side streets where classical music wafts from open windows, and concert halls that uphold musical tradition 365 days a year. Everywhere you go, the scenery, the skyline, the music and the history send your spirits soaring higher than Julie Andrews' octave-leaping vocals."
San-Francisco,United States,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Shanghai,China,"Beijing often hogs the limelight as China’s cultural nexus, but for a town of wheelers and dealers, Shanghai is surprisingly creative. Many art galleries are exciting, offering a window into contemporary Chinese concerns, while nightlife options have exploded. Acrobatics shows are always a tourist favorite and you might grab the chance to catch some Chinese opera. Shanghai’s music and club scenes are vibrant: from unpretentious jazz and indie venues to all-night hip-hop and electro-dance parties, the city swings with the best of them."
Sofia,Bulgaria,"Bulgaria's pleasingly laid-back capital is often overlooked by visitors heading to the coast or the ski resorts, but they're missing something special. Sofia is no grand metropolis, but it's a modern, youthful city, with a scattering of onion-domed churches, Ottoman mosques and stubborn Red Army monuments that lend an eclectic, exotic feel. Excavation work carried out during construction of the metro unveiled a treasure trove of Roman ruins from nearly 2000 years ago, when the city was called 'Serdica'. Away from the buildings and boulevards, vast parks and manicured gardens offer a welcome respite, and the ski slopes and hiking trails of mighty Mt Vitosha are just a short bus ride from the centre. Home to many of Bulgaria's finest museums, galleries, restaurants and clubs, Sofia may persuade you to stick around and explore further."
St-Petersburg Russia,Russia,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Stuttgart,Germany,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Taipei,Taiwan,"With its lanes of blackened walk-ups and countless shopfronts, the city may look like it was thrown together in a hurry, but look again. Great care has been taken to make it a truly liveable place for people: public transport grids the city well and is fast, reliable and cheap; every few blocks there's a park with a generous supply of benches, shelters and flowers; good (and often great) coffee is available everywhere; the MRT has courtesy umbrellas free for rainy days; and a clean and free public toilet is never far away."
Tbilisi,Georgia,"While at first glance Tbilisi can seem both crowded and chaotic, many neighbourhoods retain a village-like feel with their narrow streets and small shops, while the Old Town is still redolent of an ancient Eurasian crossroads, with its winding lanes, balconied houses and leafy squares, all overlooked by the 17-century-old Narikala Fortress. Whichever side of the city you're looking for, you'll discover both on any exploration of Georgia's capital."
Thessaloniki,Greece,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Toronto,Canada,"Like any place that's cold, Toronto adores its spring and summer months. Torontonians aren’t necessarily outdoorsy as a bunch, but the city makes it easy to enjoy those precious sunny days. There are beaches and waterfront paths along Lake Ontario, plus kayaking or standup paddling around the Toronto Islands. Green spaces such as High Park and Kew Gardens, huge and grassy, are perfect for a picnic and an afternoon stroll, while the east end has a growing network of leafy bike paths and walkways. Even in winter, on a gray, chilly day, there’s outdoor ice skating to enjoy!"
Venice,Italy,"Eyeglasses, platform shoes and uncorseted dresses were all outlandish Venetian fashions that critics sniffed would never be worn by respectable Europeans. Venetians are used to setting trends, whether it be with controversial artwork in the Punta della Dogana, racy operas at La Fenice or radical new tech start-ups challenging Silicon Valley giants. On a smaller scale, this unconventional creative streak finds vibrant expression in the showrooms of local artisans where you can find custom-made red-carpet shoes, purses fashioned from silk-screened velvet, and glass jewels brighter than semiprecious stones. In a world of cookie-cutter culture, Venice’s originality still stands out."
Vienna,Austria,"The Viennese appreciation of the finer things in life extends to its opulent coffee-house 'living rooms' serving spectacular cakes; its beloved pub-like Beisln dishing up hearty portions of Wiener schnitzel, Tafelspitz (prime boiled beef) and goulash; elegant restaurants; and its fine Austrian wines served in vaulted Vinothek (wine bar) cellars, and in rustic vine-draped Heurigen (wine taverns) in the vineyards fringing the city. Local and international delicacies fill the heady Naschmarkt stalls, and creative chefs are experimenting with local produce and fresh new flavour combinations in innovative, often repurposed venues."
Warsaw,03,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
Zakynthos,Greece,"Zakynthos, also known by its Italian name Zante, is an island of two stories. The southern and southeastern shorelines are dominated by heavy – and often low-quality – package tourism, although even here there are some attractive lower-key bases hiding just out of sight of the larger, run-of-the-mill resorts; examples include Keri and Limni Keriou in the remoter southwest. Once you leave the south behind, however, and set off to explore the rest of the island, you'll discover a different place altogether. It's one where plenty of forested wilderness and traditional rural villages remain, but it’s the spectacular scenery of the rugged west coast, where mighty limestone cliffs plummet down to unreal turquoise waters, that’s the true highlight."
Zurich,Switzerland,"Much of the ancient centre, with its winding lanes and tall church steeples, has been kept lovingly intact. Yet Zürich has also wholeheartedly embraced contemporary trends, with the conversion of old factories into cultural centres and creative new living spaces. Nowhere is that clearer than in Züri-West, the epicentre of the city’s nightlife."
